file_size,file_count,user,system,total
1000,1000,0.00,0.00,0.16
1000,2000,0.00,0.01,0.18
1000,4000,0.00,0.02,0.33
1000,10000,0.00,0.04,2.38
1000,20000,0.00,0.10,5.15
1000,100000,0.04,0.62,67.82
2000,1000,0.00,0.00,0.10
2000,2000,0.00,0.01,0.15
2000,4000,0.00,0.02,0.35
2000,10000,0.00,0.05,1.23
2000,20000,0.00,0.10,4.58
2000,100000,0.04,0.62,69.59
4000,1000,0.00,0.00,0.07
4000,2000,0.00,0.01,0.16
4000,4000,0.00,0.02,0.33
4000,10000,0.00,0.05,1.28
4000,20000,0.01,0.10,4.11
4000,100000,0.03,0.65,74.19
8000,1000,0.00,0.00,0.06
8000,2000,0.00,0.01,3.09
8000,4000,0.00,0.02,4.45
8000,10000,0.00,0.06,9.39
8000,20000,0.00,0.11,19.52
8000,100000,0.04,0.66,108.91
40000,1000,0.00,0.00,0.08
40000,2000,0.00,0.01,0.18
40000,4000,0.00,0.02,0.35
40000,10000,0.00,0.05,1.39
40000,20000,0.00,0.11,4.19
40000,100000,0.04,0.65,69.78
1000000,1000,0.00,0.00,0.08
1000000,2000,0.00,0.01,0.16
1000000,4000,0.00,0.02,1.70
1000000,10000,0.00,0.05,1.30
1000000,20000,0.00,0.12,4.17
1000000,100000,0.04,0.67,109.29
2000000,1000,0.00,0.00,0.08
2000000,2000,0.00,0.01,0.17
2000000,4000,0.00,0.02,0.37
2000000,10000,0.00,0.06,1.40
2000000,20000,0.00,0.12,4.14
2000000,100000,0.04,0.64,64.95
4000000,1000,0.00,0.00,0.08
4000000,2000,0.00,0.01,0.15
4000000,4000,0.00,0.02,0.36
4000000,10000,0.00,0.05,1.37
4000000,20000,0.00,0.11,4.14
4000000,100000,0.04,0.64,157.04
8000000,1000,0.00,0.00,0.10
8000000,2000,0.00,0.01,0.21
8000000,4000,0.00,0.02,0.41
8000000,10000,0.00,0.06,1.49
8000000,20000,0.00,0.13,5.75
8000000,100000,0.04,0.64,67.24
